file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
E:\Siva_ood_projects\logstash-forwarder-java\src\main\java\info\fetter\logstashforwarder\protocol\LumberjackClient.java,info.fetter.logstashforwarder.protocol.LumberjackClient,class,6,8,2,6,31,1,0,53,0,0.7642856,0.6111111,1.0,10,0,9,1,0,0,9,0,0,0,14,6,0,14,0,0,6,0,4,177,8,5,4,3,1,24,18,38,13,34,2,0,0,0,114,1,9
E:\Siva_ood_projects\logstash-forwarder-java\src\main\java\info\fetter\logstashforwarder\ProtocolAdapter.java,info.fetter.logstashforwarder.ProtocolAdapter,interface,1,7,6,1,4,1,0,0,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0
E:\Siva_ood_projects\logstash-forwarder-java\src\main\java\info\fetter\logstashforwarder\FileModificationListener.java,info.fetter.logstashforwarder.FileModificationListener,class,6,7,1,6,9,1,0,3,24,0.63888896,0.16666667,0.16666667,9,0,9,0,0,0,9,0,0,0,4,0,0,4,0,0,0,0,0,31,0,0,0,0,0,0,0,4,0,4,0,0,0,0,21,1,0
E:\Siva_ood_projects\logstash-forwarder-java\src\main\java\info\fetter\logstashforwarder\config\Configuration.java,info.fetter.logstashforwarder.config.Configuration,class,3,6,3,3,5,1,0,2,0,0.4,0.6,1.0,5,0,5,0,0,0,5,0,0,0,2,0,0,2,0,0,0,0,0,19,3,0,0,0,0,2,0,2,0,2,0,0,0,0,12,1,0
E:\Siva_ood_projects\logstash-forwarder-java\src\test\java\info\fetter\logstashforwarder\FileReaderTest.java,info.fetter.logstashforwarder.FileReaderTest,class,11,12,1,11,4,1,0,14,6,1.0,0.0,0.0,4,2,4,0,0,0,4,0,0,0,1,0,0,0,0,1,0,0,2,52,0,0,0,0,0,22,6,11,0,11,0,0,0,0,34,1,0
E:\Siva_ood_projects\logstash-forwarder-java\src\test\java\info\fetter\logstashforwarder\InputReaderTest.java,info.fetter.logstashforwarder.InputReaderTest,class,9,10,1,9,4,1,0,20,6,1.0,0.0,0.0,4,2,4,0,0,0,4,0,0,0,1,0,0,0,0,1,0,0,0,69,0,0,0,0,0,18,20,23,0,13,0,0,0,0,42,1,0
E:\Siva_ood_projects\logstash-forwarder-java\src\main\java\info\fetter\logstashforwarder\FileWatcher.java,info.fetter.logstashforwarder.FileWatcher,class,16,20,4,16,84,1,0,68,0,0.8223141,0.41758242,0.50549453,22,0,14,8,0,0,14,0,0,0,11,2,1,10,0,0,2,0,5,329,5,12,17,8,1,63,5,41,28,36,6,0,0,0,134,1,50
E:\Siva_ood_projects\logstash-forwarder-java\src\test\java\info\fetter\logstashforwarder\FileWatcherTest.java,info.fetter.logstashforwarder.FileWatcherTest,class,8,9,1,8,11,1,0,19,19,0.71428573,0.04761905,0.04761905,7,2,7,0,0,0,7,0,0,0,1,0,0,0,0,1,0,0,13,86,2,2,0,0,0,31,15,14,0,14,1,0,0,0,38,1,2
E:\Siva_ood_projects\logstash-forwarder-java\src\test\java\info\fetter\logstashforwarder\MockProtocolAdapter.java,info.fetter.logstashforwarder.MockProtocolAdapter,class,4,7,3,4,7,1,0,6,8,0.70000005,0.1,0.1,5,0,5,0,0,0,5,0,0,0,2,1,0,2,0,0,0,0,0,25,4,2,0,0,0,4,1,2,1,2,2,0,0,0,17,1,2
E:\Siva_ood_projects\logstash-forwarder-java\src\main\java\info\fetter\logstashforwarder\Reader.java,info.fetter.logstashforwarder.Reader,class,6,12,6,6,13,1,2,15,13,0.8095238,0.14285715,0.14285715,7,0,2,0,5,0,8,0,0,0,6,0,0,1,5,0,1,0,2,48,1,0,2,1,0,8,3,11,1,10,1,0,0,0,41,1025,0
