file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
E:\Siva_ood_projects\razorpay-java\src\test\java\com\razorpay\SettlementClientTest.java,com.razorpay.SettlementClientTest,class,7,7,0,7,14,2,0,19,0,0.2857143,1.0,1.0,7,0,7,0,0,0,7,0,0,0,2,1,0,1,1,0,1,0,2,131,0,0,0,7,0,232,24,26,12,26,1,0,0,0,77,1,0
E:\Siva_ood_projects\razorpay-java\src\main\java\com\razorpay\QrCode.java,com.razorpay.QrCode,class,2,4,2,2,1,2,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0
E:\Siva_ood_projects\razorpay-java\src\test\java\com\razorpay\ProductClientTest.java,com.razorpay.ProductClientTest,class,9,10,1,9,9,2,0,11,0,0.5,1.0,1.0,5,0,4,1,0,0,4,0,0,0,4,3,0,3,1,0,3,0,0,65,1,0,0,4,0,188,4,14,5,14,1,0,0,0,64,1,0
E:\Siva_ood_projects\razorpay-java\src\main\java\com\razorpay\Invoice.java,com.razorpay.Invoice,class,2,4,2,2,1,2,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0
E:\Siva_ood_projects\razorpay-java\src\main\java\com\razorpay\CustomerClient.java,com.razorpay.CustomerClient,class,6,9,3,6,13,2,0,7,78,0.0,0.0,0.0,13,0,12,0,0,1,13,0,0,0,0,0,0,0,0,0,0,0,8,41,12,0,0,0,0,0,0,0,0,0,0,0,0,0,53,1,0
E:\Siva_ood_projects\razorpay-java\src\main\java\com\razorpay\Account.java,com.razorpay.Account,class,2,8,6,2,1,2,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0
E:\Siva_ood_projects\razorpay-java\src\main\java\com\razorpay\Product.java,com.razorpay.Product,class,2,2,0,2,1,2,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0
E:\Siva_ood_projects\razorpay-java\src\main\java\com\razorpay\ApiUtils.java,com.razorpay.ApiUtils$Method,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0
E:\Siva_ood_projects\razorpay-java\src\main\java\com\razorpay\ProductClient.java,com.razorpay.ProductClient,class,4,6,2,4,5,2,0,4,10,0.0,0.0,0.0,5,0,4,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,4,17,4,0,0,0,0,0,0,0,0,0,0,0,0,0,24,1,0
E:\Siva_ood_projects\razorpay-java\src\main\java\com\razorpay\ApiUtils.java,com.razorpay.ApiUtils,class,13,19,6,13,44,1,0,60,24,0.7142857,0.8333333,0.8333333,21,21,0,9,0,12,12,0,0,0,3,3,0,3,0,0,0,0,32,169,20,3,12,3,1,18,6,43,3,39,2,0,1,0,91,0,0
E:\Siva_ood_projects\razorpay-java\src\main\java\com\razorpay\TokenClient.java,com.razorpay.TokenClient,class,3,5,2,3,5,2,0,1,10,0.0,0.0,0.0,5,0,4,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,17,4,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,0
E:\Siva_ood_projects\razorpay-java\src\main\java\com\razorpay\Subscription.java,com.razorpay.Subscription,class,2,4,2,2,1,2,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0
E:\Siva_ood_projects\razorpay-java\src\main\java\com\razorpay\Transfer.java,com.razorpay.Transfer,class,2,6,4,2,1,2,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0
E:\Siva_ood_projects\razorpay-java\src\main\java\com\razorpay\DisputeClient.java,com.razorpay.DisputeClient,class,4,7,3,4,6,2,0,6,15,0.0,0.0,0.0,6,0,5,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,3,20,5,0,0,0,0,0,0,0,0,0,0,0,0,0,42,1,0
E:\Siva_ood_projects\razorpay-java\src\main\java\com\razorpay\Iin.java,com.razorpay.Iin,class,2,4,2,2,1,2,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0
E:\Siva_ood_projects\razorpay-java\src\main\java\com\razorpay\VirtualAccount.java,com.razorpay.VirtualAccount,class,2,4,2,2,1,2,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0
E:\Siva_ood_projects\razorpay-java\src\main\java\com\razorpay\VirtualAccountClient.java,com.razorpay.VirtualAccountClient,class,5,8,3,5,12,2,0,8,66,0.0,0.0,0.0,12,0,11,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,7,38,11,0,0,0,0,0,0,0,0,0,0,0,0,0,32,1,0
E:\Siva_ood_projects\razorpay-java\src\main\java\com\razorpay\FundAccount.java,com.razorpay.FundAccount,class,2,4,2,2,1,2,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0
E:\Siva_ood_projects\razorpay-java\src\main\java\com\razorpay\ValidationConfig.java,com.razorpay.ValidationConfig,class,1,4,3,1,3,1,0,0,0,0.33333334,0.6666667,1.0,3,0,3,0,0,0,3,0,0,0,2,0,0,2,0,0,2,0,0,14,2,0,0,0,0,0,0,2,0,2,0,0,0,0,8,1,0
E:\Siva_ood_projects\razorpay-java\src\test\java\com\razorpay\PaymentLinkTest.java,com.razorpay.PaymentLinkTest,class,7,7,0,7,12,2,0,18,0,0.083333336,1.0,1.0,6,0,6,0,0,0,6,0,0,0,2,1,0,1,1,0,1,0,4,116,0,0,0,6,0,49,10,22,3,22,1,0,0,0,90,1,0
