file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
E:\Git_Projects\vertx-examples\rxjava-3-examples\src\main\java\io\vertx\example\rxjava3\web\client\unmarshalling\Client.java,io.vertx.example.rxjava3.web.client.unmarshalling.Client,class,6,7,1,6,2,2,0,10,1,0.0,0.0,0.0,2,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,6,1,2,3,5,0,0,1,3,13,1,0
E:\Git_Projects\vertx-examples\sql-client-examples\src\main\java\io\vertx\example\sqlclient\transaction\SqlClientExample.java,io.vertx.example.sqlclient.transaction.SqlClientExample,class,8,9,1,8,4,2,0,23,0,0.0,0.33333334,0.33333334,3,1,3,0,0,0,3,0,0,0,1,0,0,1,0,0,1,0,0,31,3,1,0,0,0,4,2,5,1,9,2,0,0,4,31,1,0
E:\Git_Projects\vertx-examples\camel-bridge-examples\src\main\java\io\vertx\example\camel\feed\FeedExample.java,io.vertx.example.camel.feed.FeedExample$Anonymous1,anonymous,0,0,0,0,1,1,0,8,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,9,0,0,1,0,0,0,0,0,22,-1,0
E:\Git_Projects\vertx-examples\jpms-examples\src\main\java\io\vertx\example\jpms\sqlclient\Client.java,io.vertx.example.jpms.sqlclient.Client,class,5,6,1,5,2,2,0,14,1,0.0,0.0,0.0,2,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,8,1,2,0,7,2,0,0,5,29,1,0
E:\Git_Projects\vertx-examples\rxjava-2-examples\src\main\java\io\vertx\example\reactivex\eventbus\pingpong\PingPong.java,io.vertx.example.reactivex.eventbus.pingpong.PingPong,class,3,4,1,3,2,2,0,11,1,0.5,0.0,0.0,2,1,2,0,0,0,2,0,0,0,1,1,0,1,0,0,1,0,0,21,0,0,0,0,0,7,1,2,2,5,2,0,0,3,18,1,0
E:\Git_Projects\vertx-examples\web-examples\src\main\java\io\vertx\example\web\proxy\Server.java,io.vertx.example.web.proxy.Server,class,7,8,1,7,2,2,0,20,1,0.0,0.0,0.0,2,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,9,3,3,0,6,2,0,0,3,22,1,0
E:\Git_Projects\vertx-examples\rxjava-2-examples\src\main\java\io\vertx\example\reactivex\eventbus\pubsub\Receiver.java,io.vertx.example.reactivex.eventbus.pubsub.Receiver,class,3,4,1,3,2,2,0,9,1,0.0,0.0,0.0,2,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,5,0,1,1,2,0,0,0,1,11,1,0
E:\Git_Projects\vertx-examples\rxjava-2-examples\src\main\java\io\vertx\example\reactivex\database\mongo\Client.java,io.vertx.example.reactivex.database.mongo.Client,class,5,6,1,5,3,2,0,18,1,0.33333334,0.0,0.0,3,1,2,1,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,29,1,0,0,0,0,24,0,3,2,8,1,0,0,5,20,1,0
E:\Git_Projects\vertx-examples\rxjava-2-examples\src\main\java\io\vertx\example\reactivex\net\greeter\Server.java,io.vertx.example.reactivex.net.greeter.Server,class,3,4,1,3,2,2,0,14,1,0.0,0.0,0.0,2,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,7,1,1,2,6,2,0,0,5,17,1,0
E:\Git_Projects\vertx-examples\core-examples\src\main\java\io\vertx\example\core\http2\h2c\Client.java,io.vertx.example.core.http2.h2c.Client,class,4,5,1,4,2,2,0,13,1,0.0,0.0,0.0,2,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0,0,0,0,6,1,2,2,5,1,0,0,3,16,1,0
E:\Git_Projects\vertx-examples\rxjava-3-examples\src\main\java\io\vertx\example\rxjava3\http\client\zip\Server.java,io.vertx.example.rxjava3.http.client.zip.Server,class,4,5,1,4,2,2,0,11,1,0.0,0.0,0.0,2,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,4,1,1,0,2,1,0,0,1,12,1,0
E:\Git_Projects\vertx-examples\rxjava-2-examples\src\main\java\io\vertx\example\reactivex\web\client\simple\Server.java,io.vertx.example.reactivex.web.client.simple.Server,class,3,4,1,3,2,2,0,8,1,0.0,0.0,0.0,2,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,4,1,1,0,2,1,0,0,1,15,1,0
E:\Git_Projects\vertx-examples\core-examples\src\main\java\io\vertx\example\core\http\sharing\Server.java,io.vertx.example.core.http.sharing.Server,class,3,4,1,3,2,2,0,4,1,0.0,0.0,0.0,2,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,2,1,0,0,0,0,0,0,0,31,1,0
E:\Git_Projects\vertx-examples\unit-examples\src\test\java\io\vertx\example\unit\test\RunOnContextTest.java,io.vertx.example.unit.test.RunOnContextTest,class,8,8,0,8,3,1,0,4,0,0.5,1.0,1.0,3,0,3,0,0,0,3,0,0,0,2,0,1,1,0,0,1,0,3,16,0,0,0,0,0,0,0,2,0,2,0,0,0,0,27,1,0
E:\Git_Projects\vertx-examples\grpc-examples\src\main\java\io\vertx\example\grpc\consumer\Client.java,io.vertx.example.grpc.consumer.Client,class,4,5,1,4,2,2,0,16,1,0.0,0.0,0.0,2,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0,0,0,0,3,1,1,0,5,1,0,0,4,14,1,0
